iter	Logloss
0	0.6293841614
1	0.5890443537
2	0.5439519631
3	0.49955925
4	0.4653402838
5	0.4405146912
6	0.4223221401
7	0.4099754998
8	0.4000820409
9	0.3915377883
10	0.3849626663
11	0.3790290382
12	0.3743426582
13	0.3653576152
14	0.3623078737
15	0.3553282243
16	0.3521567025
17	0.3468759288
18	0.3427995536
19	0.3394227327
20	0.3377222151
21	0.3363379663
22	0.3338506346
23	0.3312438954
24	0.3287688008
25	0.3278956168
26	0.3268369258
27	0.3249909139
28	0.3238719329
29	0.3226069307
30	0.3221938944
31	0.321665809
32	0.3207062783
33	0.3199973497
34	0.3190488287
35	0.3187512754
36	0.3183962036
37	0.3181935129
38	0.3171695913
39	0.3169463363
40	0.3162045165
41	0.3159773551
42	0.3154313864
43	0.3150649997
44	0.3149209163
45	0.3142959371
46	0.314091777
47	0.3140216973
48	0.3136057599
49	0.3135774155
50	0.3135386742
51	0.3133499209
52	0.3128639769
53	0.3126642991
54	0.3123157735
55	0.3120709625
56	0.3118240613
57	0.3116683006
58	0.3113562527
59	0.3111158895
60	0.3109893214
61	0.3109002595
62	0.3105711655
63	0.3104175196
64	0.3102050983
65	0.3100968145
66	0.3100161034
67	0.3099528504
68	0.3096744056
69	0.3094678912
70	0.3094207476
71	0.3093231981
72	0.3092707556
73	0.3092025393
74	0.3090392251
75	0.3088575776
76	0.3088277618
77	0.3087178739
78	0.3085957542
79	0.308508402
80	0.3084948049
81	0.3084434503
82	0.308331364
83	0.3082536059
84	0.30805083
85	0.3080348464
86	0.3079407364
87	0.3078436288
88	0.3077636108
89	0.3076562546
90	0.307604328
91	0.3075600701
92	0.3075383874
93	0.3074722548
94	0.3074072506
95	0.3073560294
96	0.3073241028
97	0.3072304065
98	0.3071988038
99	0.3071775012
100	0.3071420822
101	0.3071314485
102	0.3070698622
103	0.3070481099
104	0.3070408392
105	0.3069997789
106	0.3069715948
107	0.3069279554
108	0.3068727882
109	0.3067924745
110	0.30675793
111	0.3067314135
112	0.3067285949
113	0.3067012698
114	0.306658792
115	0.3066557112
116	0.3066167232
117	0.3065437235
118	0.3065004636
119	0.306455975
120	0.3064304576
121	0.3064022054
122	0.3063742862
123	0.306363582
124	0.3063506976
125	0.3063448645
126	0.3063312293
127	0.3063143034
128	0.3062865581
129	0.3062259356
130	0.3062167191
131	0.3062095086
132	0.3061953821
133	0.3061776643
